name
바벨 벤치 프레스
덤벨 벤치 프레스
덤벨 플라이
덤벨 풀 오버
클로즈 그립 푸쉬업
덤벨 컬
해머 컬
바벨 컬
컨센트레이션 컬
리버스 바벨 컬
얼터네이트 덤벨 컬
얼터네이트 해머 컬
덤벨 리스트컬
바벨 리스트컬
스탠팅 바벨 트라이셉스 익스텐션
라잉 바벨 트라이셉스 익스텐션
원암 덤벨 오버헤드 트라이셉스 익스텐션
시티드 트라이셉스 익스텐션
덤벨 킥 백
벤치 딥
덤벨 리버스 리스트 컬
바벨 리버스 리스트 컬
푸쉬업
벤트 오버 원암 덤벨 로우
벤트 오버 바벨 로우
언더 그립 바벨 로우
뉴트럴 그립 투암 덤벨 로우
바벨 굿모닝 엑서사이즈
배 익스텐션
바벨 밀리터리 프레스
비하인드 넥 프레스
덤벨 숄더 프레스
덤벨 레터럴 레이즈
덤벨 프론트 레이즈
벤트 오버 레터럴 레이즈
바벨 프론트 레이즈
바벨 업라이트 로우
덤벨 쉬러그
바벨 쉬러그
백 스쿼트
프론트 스쿼트
바벨 런지
덤벨 런지
시티드 카프 레이즈
힙 브릿지
덩키킥
바벨 힙 트러스트
업도미널 힙 트러스트
루마니안 데드리프트
스티프 레그 데드리프트
컨벤셔널 데드리프트
덤벨 사이드 밴드
크런치
레그 레이즈
오블리크 크런치
시티드 니 업
리버스 크런치
V 싯업
스쿼팅 바벨 컬
와이드 스탠스 스쿼트
풀(딥) 스쿼트
플랭크
사이드 플랭크
